WKT,name,description
"POINT (106.6581284 10.7705307)",LTK+THT,
"POINT (106.6635404 10.776448)",TT+THT,
"POINT (106.6720807 10.7829302)",THT+CMT8,
"POINT (106.6816339 10.7779328)",CMT8+VTS+LCT+3/2,
"POINT (106.6830846 10.7788893)",VTS+NT,
"POINT (106.6842808 10.7800695)",VTS+BHTQ,
"POINT (106.6853848 10.7812634)",VTS+TD,Vo Thi Sau + Truong Dinh
"POINT (106.6868386 10.782702)",VTS+TQT,Vo Thi Sau + Tran Quoc Thao
"POINT (106.6880527 10.783869)",VTS+LQD,Vo Thi Sau + Le Quy Don
"POINT (106.6891104 10.7849467)",VTS+NKKN,Vo Thi Sau + Nam Ky Khoi Nghia
"POINT (106.6827446 10.7772709)",CMT8+TX,CMT8 + Tu Xuong
"POINT (106.683957 10.7783459)",TX+NT,Tu Xuong + Nguyen Thong
"POINT (106.685162 10.7795558)",TX+BHTQ,Tu Xuong + Ba Huyen Thanh Quan
"POINT (106.6863034 10.7806732)",TX+TD,Tu Xuong + Truong Dinh
"POINT (106.6876472 10.7819598)",TX+TQT,Tu Xuong + Tran Quoc Thao
"POINT (106.6836848 10.776714)",CMT8+DBP,CMT8 + Dien Bien Phu
"POINT (106.684891 10.7778456)",DBP+NT,Dien Bien Phu + Nguyen Thong
"POINT (106.6860728 10.7789471)",DBP+BHTQ,Ba Huyen Thanh Quan
"POINT (106.6872569 10.7800645)",DBP+TD,Truong Dinh
"POINT (106.6884447 10.7812392)",TQT+DBP,
"POINT (106.6888093 10.7831215)",LQD+TX,
"POINT (106.6896413 10.7823729)",LQD+DBP,Dien Bien Phu + LQD
"POINT (106.6899709 10.7841993)",NKKN+TX,Tu Xuong + Nam Ky Khoi Nghia
"POINT (106.690754 10.7833938)",DBP+NKKN,
"POINT (106.6861138 10.77678)",NTN+NT,Ngo Thoi Nhiem + Nguyen Thong
"POINT (106.6872203 10.7778838)",NTN+BHTQ,Ba Huyen Thanh Quan + Ngo Thoi Nhiem
