Emotions,Path
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_Sad/OAF_get_sad.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_19/03-01-04-02-01-02-19.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_angry/YAF_germ_angry.wav
neutral,/content/drive/MyDrive/Colab_Notebooks/kaggle/ALL/JE_n18.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_Fear/OAF_raid_fear.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_20/03-01-03-01-02-02-20.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_22/03-01-04-02-02-01-22.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_happy/YAF_knock_happy.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_07/03-01-07-01-01-01-07.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_happy/OAF_book_happy.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_fear/YAF_date_fear.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_happy/YAF_phone_happy.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_03/03-01-08-02-01-02-03.wav
neutral,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_neutral/YAF_beg_neutral.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_pleasant_surprised/YAF_live_ps.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_20/03-01-08-02-01-02-20.wav
neutral,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_neutral/YAF_keen_neutral.wav
neutral,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_09/03-01-02-02-01-02-09.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_15/03-01-03-01-01-02-15.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_hurl_angry.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_happy/OAF_came_happy.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/ALL/KL_a10.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-02-01.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_20/03-01-05-01-01-02-20.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_fear/YAF_shack_fear.wav
neutral,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_neutral/YAF_lore_neutral.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_sad/YAF_fall_sad.wav
neutral,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_10/03-01-02-01-02-02-10.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_happy/YAF_note_happy.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_23/03-01-03-01-01-01-23.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_14/03-01-03-01-02-02-14.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_dog_angry.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_21/03-01-03-02-02-02-21.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_happy/YAF_rain_happy.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_angry/OAF_dodge_angry.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_03/03-01-08-01-02-01-03.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_sad/YAF_jail_sad.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_22/03-01-08-02-02-01-22.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_02/03-01-04-02-02-01-02.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_Pleasant_surprise/OAF_talk_ps.wav
neutral,/content/drive/MyDrive/Colab_Notebooks/kaggle/ALL/JK_n12.wav
neutral,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_02/03-01-02-01-02-02-02.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_pleasant_surprised/YAF_ditch_ps.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_disgust/OAF_raise_disgust.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_Fear/OAF_hash_fear.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_fear/YAF_cab_fear.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/YAF_happy/YAF_join_happy.wav
unpleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/audio_speech_actors_01-24/Actor_23/03-01-04-02-01-01-23.wav
pleasant,/content/drive/MyDrive/Colab_Notebooks/kaggle/tess toronto emotional speech set data/TESS Toronto emotional speech set data/OAF_happy/OAF_soap_happy.wav
